id_number,Nat,Edad,coding
4865,PAR,-1,P_X_LOWER
2515,Argentina,45,A_1979_LOWER
1903,Mexico,64,M_1960_MID
2630,BRA,36,B_1988_UPPER
410,PAR,-1,P_X_MID
295,argentina,-1,A_X_LOWER
3569,Uruguay,63,U_1961_MID
3836,Paraguay,40,P_1984_LOWER
2696,MEX,62,M_1962_LOWER
3980,Argentina,74,A_1950_LOWER
1775,argentina,55,A_1969_UPPER
905,arg,-1,A_X_LOWER
389,argentina,37,A_1987_LOWER
2974,Paraguay,66,P_1958_LOWER
1029,Chile,64,C_1960_UPPER
41,Brasil,70,B_1954_MID
4000,URU,62,U_1962_LOWER
2359,URU,78,U_1946_LOWER
1537,,50,X_1974_UPPER
4466,PAR,53,P_1971_LOWER
4274,CH,46,C_1978_LOWER
1646,,63,X_1961_MID
1690,Uruguay,36,U_1988_MID
1172,CH,65,C_1959_UPPER
3619,Argentina,65,A_1959_LOWER
2326,BRA,64,B_1960_MID
3537,MEX,47,M_1977_MID
2999,Uruguay,48,U_1976_MID
3115,BRA,49,B_1975_UPPER
4762,uruguay,78,U_1946_UPPER
3668,argentina,82,A_1942_MID
2221,MEX,35,M_1989_LOWER
2406,URU,73,U_1951_LOWER
283,México,77,M_1947_MID
1221,chile,73,C_1951_UPPER
4948,Mexico,73,M_1951_UPPER
2638,arg,79,A_1945_LOWER
809,chile,66,C_1958_LOWER
3571,CH,46,C_1978_MID
167,MEX,61,M_1963_UPPER
1678,URU,71,U_1953_UPPER
542,México,52,M_1972_UPPER
4924,Argentina,-1,A_X_LOWER
788,chile,55,C_1969_UPPER
38,Uruguay,46,U_1978_MID
2357,Paraguay,69,P_1955_MID
4414,Brasil,50,B_1974_UPPER
3853,argentina,81,A_1943_UPPER
2829,arg,55,A_1969_MID
4134,MEX,38,M_1986_UPPER
1561,,40,X_1984_MID
1435,Argentina,41,A_1983_LOWER
4030,México,-1,M_X_LOWER
3294,Mexico,57,M_1967_LOWER
2769,BRA,76,B_1948_LOWER
1211,Argentina,50,A_1974_LOWER
3265,arg,53,A_1971_LOWER
107,,-1,X_X_LOWER
1061,México,47,M_1977_LOWER
3196,,48,X_1976_UPPER
1739,Brasil,34,B_1990_MID
1056,argentina,40,A_1984_LOWER
4666,Argentina,69,A_1955_UPPER
2989,Argentina,75,A_1949_MID
1552,CH,36,C_1988_UPPER
3372,CH,-1,C_X_LOWER
632,uruguay,41,U_1983_MID
4934,Brasil,31,B_1993_LOWER
1787,Paraguay,-1,P_X_LOWER
3410,CH,-1,C_X_LOWER
4479,,64,X_1960_LOWER
2291,Chile,-1,C_X_LOWER
2814,argentina,49,A_1975_UPPER
4470,arg,74,A_1950_LOWER
2031,CH,70,C_1954_UPPER
671,CH,-1,C_X_LOWER
3857,uruguay,-1,U_X_LOWER
3891,MEX,75,M_1949_UPPER
4015,arg,40,A_1984_LOWER
2842,PAR,67,P_1957_LOWER
1230,argentina,52,A_1972_MID
4283,arg,65,A_1959_LOWER
4989,chile,52,C_1972_UPPER
3397,BRA,62,B_1962_UPPER
1447,Brasil,61,B_1963_LOWER
4572,PAR,73,P_1951_UPPER
992,argentina,49,A_1975_MID
3872,Brazil,-1,B_X_LOWER
1429,MEX,44,M_1980_UPPER
1127,uruguay,42,U_1982_LOWER
737,México,33,M_1991_MID
2723,uruguay,57,U_1967_UPPER
3474,arg,-1,A_X_LOWER
4624,CH,43,C_1981_UPPER
3933,,38,X_1986_UPPER
1,Paraguay,44,P_1980_MID
349,URU,46,U_1978_UPPER
1026,URU,42,U_1982_LOWER
109,CH,82,C_1942_MID
2143,Chile,68,C_1956_LOWER
476,MEX,48,M_1976_LOWER
2774,Argentina,62,A_1962_LOWER
3378,argentina,82,A_1942_LOWER
2061,Mexico,46,M_1978_LOWER
2341,MEX,38,M_1986_LOWER
4564,Chile,65,C_1959_MID
3593,arg,43,A_1981_LOWER
1284,Argentina,70,A_1954_LOWER
3461,Brasil,-1,B_X_LOWER
3575,CH,56,C_1968_MID
65,Paraguay,53,P_1971_LOWER
5,México,61,M_1963_UPPER
4630,URU,72,U_1952_UPPER
68,Uruguay,27,U_1997_MID
3476,,66,X_1958_UPPER
1568,Brasil,60,B_1964_UPPER
1730,BRA,-1,B_X_LOWER
1978,MEX,46,M_1978_MID
686,PAR,66,P_1958_MID
2979,BRA,48,B_1976_LOWER
3216,Paraguay,36,P_1988_LOWER
87,Brasil,71,B_1953_LOWER
750,uruguay,34,U_1990_UPPER
3191,Chile,51,C_1973_LOWER
1134,Paraguay,47,P_1977_LOWER
3701,uruguay,71,U_1953_UPPER
405,CH,80,C_1944_LOWER
1476,Mexico,63,M_1961_UPPER
570,argentina,83,A_1941_UPPER
4775,Brazil,49,B_1975_UPPER
4450,MEX,34,M_1990_LOWER
4305,Uruguay,20,U_2004_LOWER
2500,MEX,46,M_1978_LOWER
3786,Mexico,61,M_1963_MID
3103,chile,73,C_1951_UPPER
2210,URU,57,U_1967_MID
3808,arg,44,A_1980_MID
1165,Mexico,67,M_1957_UPPER
1751,,80,X_1944_UPPER
4772,Brazil,-1,B_X_MID
2286,Mexico,30,M_1994_LOWER
4092,chile,43,C_1981_LOWER
3078,CH,77,C_1947_UPPER
1578,BRA,79,B_1945_UPPER
3407,uruguay,31,U_1993_LOWER
4707,Chile,63,C_1961_LOWER
3724,PAR,37,P_1987_MID
4285,Brasil,-1,B_X_LOWER
1521,argentina,66,A_1958_MID
1088,URU,31,U_1993_LOWER
4430,Brasil,72,B_1952_UPPER
4648,BRA,44,B_1980_MID
3212,Argentina,-1,A_X_MID
332,Mexico,44,M_1980_LOWER
4597,arg,69,A_1955_MID
2411,Paraguay,33,P_1991_LOWER
4156,uruguay,49,U_1975_MID
4887,Brazil,48,B_1976_UPPER
669,Argentina,43,A_1981_LOWER
1970,uruguay,69,U_1955_UPPER
4726,Brazil,54,B_1970_LOWER
4914,Chile,75,C_1949_UPPER
387,BRA,40,B_1984_MID
2203,MEX,44,M_1980_UPPER
2070,,41,X_1983_UPPER
3141,Brazil,47,B_1977_LOWER
3300,argentina,71,A_1953_MID
193,chile,-1,C_X_LOWER
2632,Brazil,43,B_1981_LOWER
1352,argentina,76,A_1948_MID
219,PAR,71,P_1953_MID
4773,,49,X_1975_UPPER
446,Mexico,44,M_1980_UPPER
4027,Paraguay,-1,P_X_MID
448,BRA,68,B_1956_MID
733,México,-1,M_X_LOWER
190,URU,32,U_1992_LOWER
2799,BRA,62,B_1962_MID
3126,México,45,M_1979_UPPER
4545,Paraguay,78,P_1946_LOWER
149,chile,-1,C_X_LOWER
3602,BRA,35,B_1989_UPPER
1154,argentina,-1,A_X_LOWER
3851,PAR,71,P_1953_UPPER
352,Brazil,72,B_1952_LOWER
894,CH,57,C_1967_UPPER
3142,URU,-1,U_X_LOWER
4481,BRA,53,B_1971_UPPER
4573,Mexico,-1,M_X_LOWER
936,arg,59,A_1965_UPPER
1409,Brasil,47,B_1977_LOWER
551,MEX,73,M_1951_MID
3075,URU,45,U_1979_UPPER
4394,Paraguay,50,P_1974_LOWER
4922,PAR,72,P_1952_UPPER
2188,BRA,30,B_1994_LOWER
776,BRA,69,B_1955_UPPER
1449,México,37,M_1987_UPPER
1105,Brazil,67,B_1957_LOWER
3821,Paraguay,75,P_1949_LOWER
4735,México,-1,M_X_MID
1931,Paraguay,37,P_1987_LOWER
369,arg,33,A_1991_LOWER
4724,Uruguay,61,U_1963_MID
2732,Mexico,37,M_1987_LOWER
2841,Chile,-1,C_X_LOWER
2716,URU,46,U_1978_MID
2735,URU,57,U_1967_LOWER
2983,México,71,M_1953_UPPER
2654,arg,-1,A_X_LOWER
541,PAR,78,P_1946_MID
4857,arg,75,A_1949_MID
2737,CH,-1,C_X_LOWER
4976,BRA,32,B_1992_MID
3633,Brazil,35,B_1989_MID
2002,Chile,40,C_1984_LOWER
2450,Paraguay,59,P_1965_LOWER
2636,PAR,-1,P_X_MID
1420,Brazil,52,B_1972_UPPER
3904,Uruguay,40,U_1984_UPPER
4079,Argentina,79,A_1945_UPPER
4023,URU,77,U_1947_UPPER
1139,Mexico,42,M_1982_UPPER
1187,Argentina,51,A_1973_LOWER
3572,Brasil,62,B_1962_MID
3219,PAR,-1,P_X_LOWER
3655,Argentina,-1,A_X_MID
3082,Mexico,79,M_1945_UPPER
260,CH,44,C_1980_LOWER
1043,Mexico,-1,M_X_LOWER
3625,Uruguay,40,U_1984_MID
556,URU,67,U_1957_LOWER
4377,Mexico,34,M_1990_MID
1845,MEX,62,M_1962_UPPER
3955,MEX,70,M_1954_UPPER
2718,Chile,42,C_1982_UPPER
2056,chile,86,C_1938_UPPER
3767,Argentina,78,A_1946_LOWER
2525,Brasil,65,B_1959_UPPER
2794,Chile,47,C_1977_UPPER
4028,argentina,52,A_1972_LOWER
4238,argentina,55,A_1969_MID
1843,Brazil,67,B_1957_UPPER
4395,PAR,61,P_1963_LOWER
3590,chile,80,C_1944_UPPER
2511,CH,75,C_1949_UPPER
3298,México,36,M_1988_UPPER
2548,URU,54,U_1970_LOWER
2361,México,37,M_1987_UPPER
3534,Mexico,-1,M_X_LOWER
2545,MEX,41,M_1983_UPPER
1440,arg,50,A_1974_LOWER
573,MEX,77,M_1947_LOWER
579,Paraguay,36,P_1988_LOWER
11,Paraguay,66,P_1958_LOWER
4689,Brazil,73,B_1951_UPPER
4715,Mexico,72,M_1952_MID
4358,URU,53,U_1971_MID
3290,arg,58,A_1966_MID
1713,México,52,M_1972_MID
2330,uruguay,-1,U_X_LOWER
333,Chile,54,C_1970_UPPER
1615,Chile,57,C_1967_MID
3741,Chile,68,C_1956_UPPER
3281,Chile,62,C_1962_UPPER
4103,argentina,54,A_1970_MID
3440,,26,X_1998_LOWER
4236,BRA,45,B_1979_UPPER
2816,uruguay,40,U_1984_UPPER
1245,Mexico,79,M_1945_UPPER
1715,chile,76,C_1948_UPPER
2835,Uruguay,23,U_2001_MID
2278,Argentina,74,A_1950_LOWER
1379,México,43,M_1981_MID
1832,argentina,49,A_1975_MID
4231,Chile,39,C_1985_LOWER
3552,BRA,72,B_1952_UPPER
2556,BRA,67,B_1957_UPPER
1776,BRA,44,B_1980_MID
3320,BRA,30,B_1994_LOWER
1957,chile,46,C_1978_LOWER
35,PAR,-1,P_X_UPPER
3194,PAR,43,P_1981_LOWER
1733,arg,63,A_1961_MID
2610,argentina,37,A_1987_MID
1119,Uruguay,44,U_1980_MID
2913,URU,37,U_1987_MID
2344,Chile,-1,C_X_UPPER
2942,BRA,63,B_1961_LOWER
762,Brazil,31,B_1993_LOWER
4013,argentina,67,A_1957_UPPER
1863,CH,-1,C_X_LOWER
4708,argentina,73,A_1951_UPPER
4851,Argentina,52,A_1972_LOWER
400,CH,74,C_1950_UPPER
1101,Chile,82,C_1942_UPPER
4119,Brazil,63,B_1961_LOWER
3688,URU,32,U_1992_MID
3992,CH,36,C_1988_UPPER
560,México,65,M_1959_UPPER
1507,Brasil,28,B_1996_UPPER
2377,Mexico,-1,M_X_MID
188,PAR,78,P_1946_UPPER
3105,argentina,49,A_1975_UPPER
212,chile,82,C_1942_LOWER
422,chile,79,C_1945_LOWER
3946,Chile,47,C_1977_MID
3856,Uruguay,-1,U_X_MID
1385,México,28,M_1996_UPPER
1962,,34,X_1990_LOWER
2134,Uruguay,61,U_1963_MID
1847,,-1,X_X_LOWER
1402,Brazil,40,B_1984_UPPER
2669,Paraguay,41,P_1983_LOWER
3929,URU,77,U_1947_UPPER
1799,Chile,37,C_1987_MID
2756,CH,62,C_1962_LOWER
4520,México,72,M_1952_UPPER
2433,uruguay,54,U_1970_UPPER
2843,Argentina,33,A_1991_LOWER
64,Argentina,-1,A_X_LOWER
913,CH,75,C_1949_UPPER
2000,Paraguay,29,P_1995_LOWER
2951,PAR,33,P_1991_MID
3124,CH,70,C_1954_UPPER
2400,arg,42,A_1982_LOWER
2789,PAR,54,P_1970_MID
1600,URU,-1,U_X_UPPER
3543,Chile,46,C_1978_MID
3303,Brasil,73,B_1951_UPPER
1613,MEX,-1,M_X_MID
2315,Brazil,76,B_1948_LOWER
1312,chile,47,C_1977_UPPER
4169,Brasil,31,B_1993_UPPER
4978,,85,X_1939_MID
4631,México,50,M_1974_LOWER
3222,México,29,M_1995_MID
3515,argentina,46,A_1978_MID
4992,URU,61,U_1963_MID
4594,uruguay,71,U_1953_LOWER
431,arg,59,A_1965_LOWER
2407,chile,38,C_1986_LOWER
492,argentina,42,A_1982_MID
624,,42,X_1982_MID
1349,Brasil,45,B_1979_LOWER
3032,México,63,M_1961_LOWER
1104,Chile,67,C_1957_MID
548,Uruguay,-1,U_X_LOWER
1087,CH,69,C_1955_UPPER
3411,Brazil,62,B_1962_MID
2826,MEX,66,M_1958_LOWER
3694,,54,X_1970_MID
419,uruguay,44,U_1980_LOWER
501,Brazil,72,B_1952_UPPER
536,Mexico,55,M_1969_MID
4147,BRA,52,B_1972_UPPER
2868,PAR,32,P_1992_LOWER
14,arg,40,A_1984_LOWER
3072,Brazil,25,B_1999_LOWER
2376,Chile,80,C_1944_UPPER
3870,Brazil,69,B_1955_UPPER
2489,uruguay,77,U_1947_UPPER
49,Paraguay,35,P_1989_MID
4199,,64,X_1960_UPPER
3912,URU,29,U_1995_MID
4254,Argentina,54,A_1970_LOWER
2585,México,45,M_1979_UPPER
3357,Brasil,-1,B_X_LOWER
1191,URU,73,U_1951_UPPER
2127,Mexico,29,M_1995_LOWER
2058,chile,53,C_1971_UPPER
882,Chile,61,C_1963_UPPER
2080,CH,68,C_1956_UPPER
2980,Brazil,57,B_1967_MID
69,,81,X_1943_LOWER
4213,Brazil,55,B_1969_UPPER
4570,MEX,53,M_1971_LOWER
3308,Paraguay,34,P_1990_MID
3005,México,30,M_1994_LOWER
1359,BRA,69,B_1955_LOWER
3296,Uruguay,54,U_1970_UPPER
4498,PAR,51,P_1973_UPPER
2606,Paraguay,36,P_1988_LOWER
2808,arg,43,A_1981_LOWER
3774,Paraguay,33,P_1991_LOWER
2063,URU,47,U_1977_LOWER
3295,argentina,36,A_1988_UPPER
4205,URU,62,U_1962_MID
1699,Paraguay,30,P_1994_MID
1846,Uruguay,55,U_1969_MID
3507,arg,38,A_1986_LOWER
999,Chile,69,C_1955_UPPER
1192,argentina,83,A_1941_UPPER
1573,Brasil,34,B_1990_LOWER
61,PAR,58,P_1966_MID
4048,chile,65,C_1959_UPPER
502,argentina,56,A_1968_MID
4788,argentina,49,A_1975_LOWER
3433,Uruguay,65,U_1959_MID
3332,chile,74,C_1950_UPPER
3560,Paraguay,52,P_1972_LOWER
1403,PAR,-1,P_X_LOWER
183,PAR,44,P_1980_MID
2415,arg,43,A_1981_LOWER
505,uruguay,34,U_1990_LOWER
3446,Brasil,56,B_1968_MID
1175,BRA,67,B_1957_MID
4362,Paraguay,49,P_1975_LOWER
1469,,43,X_1981_UPPER
3267,URU,78,U_1946_UPPER
4942,argentina,-1,A_X_MID
3203,MEX,64,M_1960_LOWER
4489,CH,46,C_1978_UPPER
379,México,-1,M_X_LOWER
2281,Brazil,62,B_1962_LOWER
4281,MEX,33,M_1991_LOWER
3778,PAR,42,P_1982_LOWER
3234,Argentina,53,A_1971_MID
1522,Paraguay,44,P_1980_LOWER
4243,argentina,72,A_1952_MID
2564,Uruguay,23,U_2001_MID
4355,CH,36,C_1988_LOWER
3793,México,48,M_1976_LOWER
1250,uruguay,-1,U_X_UPPER
3818,Uruguay,35,U_1989_MID
767,URU,73,U_1951_UPPER
3340,Brasil,35,B_1989_MID
2771,CH,40,C_1984_UPPER
1927,argentina,41,A_1983_UPPER
3179,PAR,76,P_1948_UPPER
2609,PAR,37,P_1987_UPPER
2251,Argentina,68,A_1956_LOWER
1557,PAR,36,P_1988_LOWER
4687,Chile,-1,C_X_LOWER
2777,uruguay,46,U_1978_UPPER
3073,Mexico,79,M_1945_MID
1844,PAR,76,P_1948_MID
221,México,37,M_1987_LOWER
1969,CH,-1,C_X_LOWER
2522,PAR,29,P_1995_MID
1581,Chile,50,C_1974_UPPER
4690,Paraguay,29,P_1995_MID
4548,CH,67,C_1957_UPPER
1201,arg,61,A_1963_LOWER
51,Argentina,73,A_1951_LOWER
2130,chile,82,C_1942_LOWER
4153,MEX,50,M_1974_MID
58,argentina,63,A_1961_MID
4442,Brazil,42,B_1982_LOWER
3652,argentina,83,A_1941_UPPER
3548,BRA,51,B_1973_LOWER
4486,chile,63,C_1961_MID
4770,argentina,64,A_1960_UPPER
2688,Mexico,77,M_1947_UPPER
3520,arg,84,A_1940_UPPER
1022,MEX,-1,M_X_UPPER
1782,,39,X_1985_LOWER
1564,chile,55,C_1969_MID
4267,,28,X_1996_MID
2733,arg,72,A_1952_LOWER
2046,Uruguay,26,U_1998_MID
2931,Uruguay,-1,U_X_MID
591,chile,48,C_1976_UPPER
4139,,35,X_1989_LOWER
